info,tradeDetail
S43框架EA修正-msci,"2010-11-23:2492 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-24:2492 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-25:2492 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-25:3481 开盘建仓,当日收益为 0.03%,明日信号为 多"
S43框架EA修正-msci,"2010-11-26:2492 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-26:3481 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-msci,"2010-11-29:2492 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-29:3481 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-11-30:2492 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-11-30:3481 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-msci,"2010-12-01:2492 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-01:3481 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-02:2492 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-02:3481 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-03:2492 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-msci,"2010-12-03:3481 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-msci,"2010-12-06:2492 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-06:3481 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-06:1402 开盘建仓,当日收益为 0.04%,明日信号为 多"
S43框架EA修正-msci,"2010-12-06:9910 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-07:1402 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-msci,"2010-12-07:2492 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-07:3481 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-07:9910 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-08:1402 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-08:2492 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-08:3481 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-08:9910 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-09:1402 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-09:2492 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-msci,"2010-12-09:3481 持有期,收益为 -0.05%,明日信号为 多"
S43框架EA修正-msci,"2010-12-09:9910 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-10:1402 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-msci,"2010-12-10:2492 持有期,收益为 0.07%,明日信号为 多"
S43框架EA修正-msci,"2010-12-10:3481 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-10:9910 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-msci,"2010-12-13:1402 持有期,收益为 0.00%,明日信号为 多"
