info,tradeDetail
S43框架EA修正-nifty,"2010-12-03:TTMT 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-06:TTMT 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-07:TTMT 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-08:TTMT 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-09:TTMT 持有期,收益为 -0.05%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-09:SUNP 开盘建仓,当日收益为 -0.03%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-10:SUNP 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-10:TTMT 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-13:SUNP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-13:TTMT 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-14:SUNP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-14:TTMT 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-15:SUNP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-15:TTMT 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-16:SUNP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-16:TTMT 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-17:SUNP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-17:TTMT 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-20:SUNP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-20:TTMT 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-21:SUNP 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-21:TTMT 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-22:SUNP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-22:TTMT 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-22:HMCL 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-23:HMCL 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-23:SUNP 持有期,收益为 0.05%,明日信号为 多"
S43框架EA修正-nifty,"2010-12-23:TTMT 持有期,收益为 -0.01%,明日信号为 平仓"
S43框架EA修正-nifty,"2010-12-24:HMCL 持有期,收益为 0.00%,明日信号为 多"
