info,tradeDetail
S43框架EA修正-set50,"2010-12-03:KTB 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-06:KTB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2010-12-06:DELTA 开盘建仓,当日收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-07:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-07:KTB 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-08:DELTA 持有期,收益为 -0.04%,明日信号为 多"
S43框架EA修正-set50,"2010-12-08:KTB 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-09:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-09:KTB 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-10:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2010-12-10:KTB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2010-12-13:DELTA 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-13:KTB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2010-12-14:DELTA 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2010-12-14:KTB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-15:DELTA 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-15:KTB 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-16:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2010-12-16:KTB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-17:DELTA 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-17:KTB 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2010-12-20:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-20:KTB 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-21:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2010-12-21:KTB 持有期,收益为 0.02%,明日信号为 多"
