x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISO-S43¿ò¼Ü-È«ÊÐ³¡,5.40,-1.54,NaN,NaN,NaN,6,4,2.97,1.80,23,0.19,NaN,NaN,1.82,59.23
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤500,4.06,-1.50,NaN,NaN,NaN,14,4,2.48,1.63,49,0.16,NaN,NaN,1.64,57.69
s43¿ò¼ÜISO-S43¿ò¼Ü-»¦Éî300,-0.02,-2.43,NaN,NaN,NaN,4,6,2.92,0.01,19,0.19,NaN,NaN,-0.01,51.54
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤1000,5.98,-1.54,NaN,NaN,NaN,5,4,3.32,1.78,14,0.21,NaN,NaN,1.80,56.15
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-È«ÊÐ³¡,7.37,-1.06,NaN,NaN,NaN,8,4,2.40,3.00,12,0.15,NaN,NaN,3.07,60.77
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤500,5.96,-1.50,NaN,NaN,NaN,7,6,2.21,2.65,32,0.14,NaN,NaN,2.69,58.46
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-»¦Éî300,1.95,-1.56,NaN,NaN,NaN,4,6,2.41,0.82,75,0.15,NaN,NaN,0.81,51.54
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤1000,8.36,-1.13,NaN,NaN,NaN,6,4,2.84,2.86,11,0.18,NaN,NaN,2.94,60.00
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-È«ÊÐ³¡,7.70,-0.53,NaN,NaN,NaN,10,4,1.60,4.67,11,0.10,NaN,NaN,4.80,65.38
