x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISO-S43¿ò¼Ü-È«ÊÐ³¡,1.15,-16.32,-10.00,19.11,1.23,11,11,3.41,0.35,618,0.22,0.27,6.27,0.34,54.32
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤500,1.83,-13.93,-8.70,22.46,2.08,11,11,3.65,0.52,611,0.23,1.10,8.24,0.50,53.44
s43¿ò¼ÜISO-S43¿ò¼Ü-»¦Éî300,2.79,-8.71,-8.30,17.56,3.21,11,9,3.36,0.84,932,0.21,2.78,9.26,0.83,52.77
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤1000,1.70,-14.64,-8.76,19.77,1.84,14,8,3.36,0.52,536,0.21,1.09,7.86,0.50,54.43
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-È«ÊÐ³¡,2.26,-5.53,-4.32,15.69,2.32,11,9,2.11,1.07,908,0.14,2.10,6.46,1.07,55.75
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤500,2.91,-4.79,-4.18,18.15,3.11,14,11,2.33,1.25,901,0.15,2.22,7.56,1.25,55.13
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-»¦Éî300,3.51,-4.34,-3.37,14.91,3.82,13,8,2.17,1.60,499,0.14,3.03,8.64,1.62,54.58
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤1000,2.73,-4.53,-3.37,16.56,2.83,14,8,2.12,1.28,905,0.14,2.33,7.92,1.29,55.96
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-È«ÊÐ³¡,0.47,-1.13,-0.85,1.59,0.45,11,9,0.50,0.95,278,0.03,0.45,0.98,0.95,55.68
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ÖÐÖ¤500,0.54,-0.87,-0.52,1.52,0.51,13,9,0.55,0.97,212,0.04,0.49,1.00,0.97,54.39
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-»¦Éî300,0.49,-1.82,-1.38,1.61,0.48,13,12,0.55,0.89,610,0.03,0.55,1.16,0.89,52.63
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ÖÐÖ¤1000,0.58,-0.97,-0.78,1.66,0.55,11,9,0.53,1.09,276,0.03,0.61,1.06,1.09,54.27
